#Event Number   e2s             e3s             
19464           0.130938        0.0270209       
19726           0.0454126       0.112686        
19904           0.0215966       0.0558588       
20011           0.0839594       0.0753399       
20196           0.121891        0.124646        
20222           0.0705206       0.0417324       
20433           0.12924         0.0751138       
20595           0.0343964       0.138495        
20603           0.0922403       0.0343249       
20732           0.0638659       0.046577        
20757           0.125119        0.125199        
21088           0.110729        0.059139        
21139           0.0654083       0.0683544       
21303           0.0821526       0.060735        
21493           0.0298417       0.176915        
21552           0.124448        0.0237361       
21756           0.0544552       0.133847        
21856           0.0906037       0.0733758       
21891           0.112037        0.044213        
21906           0.0414116       0.0385899       
21949           0.0973064       0.133089        
22049           0.0408868       0.00576008      
22059           0.0900949       0.0468044       
22193           0.105415        0.0548462       
22335           0.090804        0.106222        
22383           0.156401        0.0766713       
22520           0.0045764       0.0131621       
22822           0.151514        0.0721958       
23074           0.104907        0.163599        
23083           0.0933442       0.0458457       
23135           0.0562156       0.0535058       
23305           0.105609        0.144726        
23444           0.122592        0.0699345       
23607           0.0417228       0.0584383       
23617           0.0359873       0.0657516       
23676           0.0796725       0.115794        
23733           0.058553        0.0673981       
23948           0.0753787       0.0249764       
24298           0.0655863       0.0490864       
24305           0.126818        0.0715351       
24347           0.0422113       0.0244513       
24498           0.0334685       0.138406        
24520           0.0389684       0.0842399       
24597           0.0986786       0.0266857       
24616           0.0590072       0.0214104       
24669           0.0479869       0.185282        
24740           0.0938583       0.170279        
24805           0.0838779       0.115528        
25024           0.168129        0.120152        
25088           0.115515        0.0565871       
25397           0.0407171       0.0703879       
25414           0.0825062       0.107699        
25554           0.112397        0.0358476       
26030           0.107862        0.0359318       
26104           0.0347543       0.0992182       
26196           0.0394636       0.0532414       
26237           0.00521296      0.0277631       
26340           0.0704588       0.0651623       
26404           0.0916264       0.0832615       
26406           0.0469085       0.15212         
26470           0.110802        0.0249498       
26579           0.035922        0.0914677       
26773           0.0898264       0.0845526       
26783           0.0999942       0.0244537       
26860           0.117436        0.0842205       
26870           0.119344        0.0927114       
26884           0.0405139       0.0386393       
26938           0.0849331       0.101317        
27161           0.128082        0.0835028       
27182           0.0993554       0.0561906       
27265           0.0423047       0.0387039       
27559           0.0867008       0.11015         
27577           0.0289105       0.155126        
27696           0.0497994       0.0691685       
27748           0.0893067       0.0528832       
27753           0.0479457       0.0717942       
27844           0.169539        0.106077        
27888           0.0553218       0.0444454       
28078           0.0324362       0.0639364       
28368           0.24938         0.0777988       
28374           0.0485532       0.0567135       
28386           0.0761908       0.129749        
28576           0.0922311       0.0145932       
28746           0.042849        0.120353        
28769           0.151842        0.117835        
28844           0.0605025       0.0646172       
28942           0.0407875       0.100722        
28994           0.0983177       0.0656451       
29042           0.0891756       0.061408        
29049           0.0492162       0.0648087       
29308           0.0984206       0.162176        
29352           0.0674941       0.092405        
29519           0.0853942       0.0325388       
29770           0.0278051       0.0231728       
29773           0.122018        0.0821707       
29899           0.124615        0.0353595       
29964           0.0458774       0.119385        
30176           0.0362749       0.180197        
30196           0.0196458       0.059062        
30283           0.0860005       0.104025        
30393           0.109313        0.117773        
30525           0.108748        0.125044        
30622           0.0873864       0.0533397       
30657           0.0561816       0.0581355       
30666           0.022901        0.0663605       
30702           0.0843621       0.104931        
30712           0.0397278       0.0423849       
30808           0.0887646       0.106574        
30870           0.154454        0.0476987       
30943           0.081427        0.0350738       
31035           0.0866755       0.0377979       
31124           0.118962        0.0470958       
31193           0.0817822       0.103529        
31241           0.0760701       0.0861323       
31331           0.0944762       0.0499528       
31363           0.0745201       0.143204        
31522           0.040802        0.0497893       
31789           0.120361        0.136064        
31907           0.107724        0.0647544       
31967           0.0470977       0.0475738       
32061           0.00945232      0.0594556       
32062           0.0564581       0.118713        
32169           0.0480932       0.0641754       
32184           0.055694        0.0596384       
32586           0.0322483       0.11932         
32605           0.119637        0.0331792       
32629           0.0569781       0.148742        
32750           0.0612315       0.102871        
32765           0.205668        0.107053        
32812           0.14257         0.102222        
32850           0.026921        0.0771666       
32987           0.0354628       0.124264        
33165           0.104702        0.0803507       
33176           0.0527842       0.141487        
33275           0.0905189       0.0428702       
33451           0.113405        0.113923        
33489           0.0462034       0.053429        
33594           0.0909372       0.122337        
33827           0.0223523       0.0805039       
34089           0.0778014       0.192285        
34123           0.0862663       0.0455671       
34211           0.0940081       0.0459193       
34433           0.0593353       0.0830129       
34467           0.0331512       0.0423819       
34486           0.0875279       0.0981272       
34524           0.073709        0.0161565       
34769           0.0387599       0.0883325       
34944           0.0510933       0.0786471       
35443           0.148022        0.106877        
35444           0.0937684       0.0289058       
35445           0.117522        0.0991292       
35555           0.0987265       0.0332316       
35798           0.0765925       0.0825847       
35845           0.055166        0.0740621       
35903           0.0791944       0.00474471      
35934           0.043253        0.109197        
36171           0.09052         0.0396462       
36260           0.0667402       0.100194        
36320           0.176902        0.049859        
36557           0.0485458       0.0737323       
36573           0.10639         0.0592531       
36661           0.0292526       0.0931619       
37065           0.106805        0.0778198       
37171           0.059017        0.100173        
37397           0.0754582       0.0993537       
37561           0.181368        0.0154575       
37563           0.0655376       0.0146887       
37569           0.0058318       0.0598154       
37622           0.0715048       0.0889629       
37712           0.0694308       0.0436545       
37778           0.169882        0.0773708       
37797           0.0386241       0.133187        
37832           0.0771519       0.0775339       
37990           0.0269855       0.077084        
38042           0.0688101       0.0815984       
38050           0.0238043       0.0603422       
38103           0.0329567       0.0588267       
38340           0.0567114       0.0233838       
38581           0.135625        0.0606871       
38594           0.0829525       0.0214348       
38599           0.157126        0.153657        
38603           0.0479606       0.00393835      
38665           0.0883653       0.114459        
38694           0.159649        0.0374404       
38702           0.0963454       0.123818        
38703           0.0303765       0.0684727       
38823           0.0443165       0.100142        
39048           0.0581101       0.0861996       
39075           0.0952289       0.0754094       
39138           0.036801        0.0649021       
39358           0.0891099       0.0414829       
39475           0.0771897       0.0865593       
39521           0.0947072       0.163829        
39525           0.0682956       0.0416176       
40067           0.0581744       0.132675        
40121           0.0364191       0.096916        
40158           0.0387543       0.0684935       
40208           0.0331897       0.0614659       
40221           0.0537046       0.0592263       
40326           0.045414        0.0815872       
40385           0.0454607       0.0350189       
40487           0.14169         0.0256696       
40492           0.0193126       0.065972        
40868           0.0170251       0.0333758       
40943           0.0726996       0.0823353       
40990           0.0761095       0.11317         
41560           0.0262905       0.0672058       
41622           0.111148        0.020877        
41649           0.0839763       0.0957934       
41885           0.063562        0.0207046       
41923           0.067648        0.0304249       
42160           0.0819904       0.141099        
42174           0.14979         0.0634154       
42251           0.0570012       0.0550265       
42434           0.10999         0.0958696       
42480           0.181271        0.0566153       
42975           0.0444143       0.111833        
43078           0.0447283       0.0292562       
43096           0.0536232       0.0418297       
43142           0.0295459       0.0740661       
43295           0.0783261       0.0731898       
43347           0.133439        0.122854        
43355           0.0301145       0.0788187       
43356           0.223194        0.0586414       
43436           0.0506253       0.0830724       
43514           0.185983        0.0884161       
43750           0.110351        0.112661        
44185           0.0295912       0.123879        
44448           0.111583        0.102174        
44508           0.0190582       0.102139        
44548           0.0658243       0.13269         
44719           0.0263073       0.0196459       
44754           0.0615231       0.127678        
44816           0.065072        0.0116186       
44833           0.103671        0.0851509       
44857           0.183312        0.226534        
44897           0.0843224       0.0393639       
44922           0.0462362       0.0807886       
45129           0.0769705       0.0887748       
45202           0.089882        0.0543908       
45209           0.0659843       0.0705696       
45284           0.143244        0.141398        
45383           0.0658117       0.0544263       
45445           0.193963        0.0476934       
45529           0.0315739       0.0578592       
45773           0.132623        0.112491        
45816           0.116323        0.110012        
45921           0.066989        0.0531832       
45937           0.145895        0.150787        
46090           0.108925        0.171822        
46238           0.164635        0.14424         
46283           0.0597589       0.140337        
46300           0.0693518       0.195269        
46328           0.109351        0.0679692       
46515           0.0289765       0.0428768       
46569           0.0795278       0.0900554       
46687           0.0248993       0.0756639       
46842           0.0979568       0.0206834       
46961           0.112142        0.0356223       
47005           0.120361        0.024273        
47131           0.115783        0.101804        
47137           0.0704331       0.0318281       
47174           0.0940003       0.0443954       
47323           0.121914        0.198439        
47415           0.0805649       0.0210111       
